===== Starting battle of <WallE> vs <CleverAndDetermined> with memory tape size: 25 =====

[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -46< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >38 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -47< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >39 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -47< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >40 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -48< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >41 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -48< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >42 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -49< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >43 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -49< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >44 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -50< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >45 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -50< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >46 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -51< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >47 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -51< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >48 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -52< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >49 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -52< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >50 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -53< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >51 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -53< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >52 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -54< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >53 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -54< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >54 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -55< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >55 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -55< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >56 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -56< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >57 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -56< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >58 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -57< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >59 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -57< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >60 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -58< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >61 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -58< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >62 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -59< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >63 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -59< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >64 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -60< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >65 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -60< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >66 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -61< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >67 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -61< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >68 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -62< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >69 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -62< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >70 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -63< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >71 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -63< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >72 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -64< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >73 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -64< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >74 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -65< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >75 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -65< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >76 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -66< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >77 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -66< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >78 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -67< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >79 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -67< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >80 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -68< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >81 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -68< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >82 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -69< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >83 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -69< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >84 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -70< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >85 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -70< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >86 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -71< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >87 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -71< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >88 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -72< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >89 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -72< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >90 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -73< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >91 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -73< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >92 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -74< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >93 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -74< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >94 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -75< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >95 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -75< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >96 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -76< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >97 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -76< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >98 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -77< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >99 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -77< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >100 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -78< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >101 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -78< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >102 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -79< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >103 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -79< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >104 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -80< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >105 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -80< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >106 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -81< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >107 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -81< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >108 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -82< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >109 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -82< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >110 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -83< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >111 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -83< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >112 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -84< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >113 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -84< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >114 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -85< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >115 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -85< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >116 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -86< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >117 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -86< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >118 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -87< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >119 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -87< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >120 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -88< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >121 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -88< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >122 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -89< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >123 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -89< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >124 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -90< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >125 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -90< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >126 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -91< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >127 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -91< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >127 | 1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -92< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 127 | >1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -92< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 127 | >1 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -93< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 127 | >2 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -93< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 127 | >3 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -94< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 127 | >4 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -94< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 127 | >5 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -95< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 127 | >6 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -95< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 127 | >7 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -96< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 127 | >8 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -96< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 127 | >9 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -97< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 127 | >10 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -97< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 127 | >11 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -98< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 127 | >12 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -98< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 127 | >13 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -99< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 127 | >14 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -99< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 127 | >15 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -100< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 127 | >16 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -100< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 127 | >17 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -101< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 127 | >18 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -101< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 127 | >19 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -102< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 127 | >20 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -102< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 127 | >21 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -103< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 127 | >22 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -103< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 127 | >23 | 128 ]
[ 128 | 0 | -36 | 36 | -36 | 36 | -36 | 36 | -104< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 127 | >24 | 128 ]
